english,category,first_page,occurrences,first_context,representative_source,confidence,zh_tw,status,scope,variants,evidence
Cressa Galavarco,possible-proper-noun,111,1,data/6/entries/7/entries/4/entries/30/entries/2/entries/1,"Imprisoned in the westernmost cell along the north wall is Hyustus Staget, a captain of the City Watch whom the characters have met (see ""The Watch Arrives""). He was kidnapped while off duty and is without his armor and weapons. If Hyustus has died for whatever reason, replace him with a female human Watch officer named Cressa Galavarco (LG female Tethyrian {@creature veteran} with no armor or weapons). Whoever is here has a date with an intellect devourer.",0.8,克蕾莎·加拉瓦爾科,project-proposed,contextual,,
Cromley,possible-proper-noun,4,20,data/0/entries/5/entries/0/rows/61/0,{@creature Saeth Cromley|WDH},0.8,克姆利,project-proposed,contextual,克羅姆利;克朗利,
Cult of Asmodeus,possible-proper-noun,115,4,data/7/entries/5/name,Cult of Asmodeus,0.95,阿斯蒙蒂斯教派,existing-site,contextual,阿斯蒙蒂斯教派,
Cuttle's Meat Pies,possible-proper-noun,64,3,data/5/entries/4/entries/6/entries/0,The characters' search for the {@item Stone of Golorr|WDH} leads them to a snow-covered alley in the Trades Ward that contains a windowless Zhentarim safe house ({@area L1|140}) and a meat shop called Cuttle's Meat Pies ({@area L2|141}).,0.8,卡特爾肉餅店,project-proposed,contextual,卡特爾肉餅,
Cynosure,possible-proper-noun,164,3,data/10/entries/3/entries/13,"It is no surprise, then, that Waterdeep has since attracted a steady stream of pilgrims who worship Midnight at Mystra's temple and pay homage to Kelemvor in the City of the Dead. It might surprise you, though, to learn that Waterdavians had a short-lived penchant for worshiping Ao. The Cynosure-that great marble-pillared structure on the edge of the Market, now rented out for private and public events-was built as a temple to Ao. But his worship fell from favor when all prayers to him went unanswered, and folk realized they had no idea what he stood for or who he was. You can visit the Cynosure to see sculptures and paintings of all the major participants and events in the Time of Troubles. Entrance is free to the public on any day when no event (such as a meeting of guilds, a noble's coming-of-age ball, or some such) is scheduled.",0.8,辛諾蘇爾,project-proposed,contextual,神會之殿,
DANGER,possible-proper-noun,,0,,,0.8,危險,project-proposed,contextual,,
Dagger,possible-proper-noun,141,1,data/8/entries/3/entries/7/entries/32/entries/4/name,Dagger,0.95,匕首,existing-site,contextual,匕首,
Daggerford,possible-proper-noun,197,1,data/12/entries/8/entries/1,"The City Guard is Waterdeep's army, charged with protecting the city's walls and {@spell gate||gates}, government buildings, harbor, and officials. The City Guard also patrols the roads to Amphail, Goldenfields, and Daggerford.",0.8,匕首灘,project-proposed,contextual,達格福德,
Dagult,possible-proper-noun,5,25,data/1/entries/2/entries/2/entries/0,"In Waterdeep, a gold coin is called a dragon. Before he was ousted from his position as the Open Lord of Waterdeep, Dagult Neverember embezzled half a million dragons and hid them in a secret vault. As a security precaution, he arranged for all knowledge of the vault's location and defenses to be magically erased from his mind and the minds of his subordinates. The wizard who performed the procedure trapped this knowledge within an artifact called the {@item Stone of Golorr|WDH}. The wizard disappeared shortly thereafter, and Dagult hid the stone in the Palace of Waterdeep.",0.8,達格魯特,project-proposed,contextual,達格特;達古爾特;達加爾特,
Dalakhar,possible-proper-noun,5,23,data/1/entries/2/entries/4/entries/2,"Who actually stole the {@item Stone of Golorr|WDH}? The answer: a rock gnome named Dalakhar. After Lord Neverember used magic to discern the gemstone's location, he sent forth a succession of spies to infiltrate {@creature Xanathar|WDH}'s lair and obtain it. Dalakhar succeeded where many others before him had failed, but his success turns out to be short-lived.",0.8,達拉卡爾,project-proposed,contextual,達拉哈爾,
Dales,possible-proper-noun,164,3,data/10/entries/2/entries/4,"If you travel overland in a small party or alone, you aren't required to register with a magister unless your stay extends beyond a tenday. At that point, you must register with a magister either at the harbor, the gates, or the city courts. Discovery of your failure to do so can result in a fine or forced labor. Of course, registration subjects you to monthly taxation. But as a truculent old acquaintance from the Dales once told me, ""The sheep gives the shepherd its fleece or there'll be mutton for dinner."" That is, the magisters will get you either way, so you might as well register up front.",0.8,谷地,project-proposed,contextual,達爾斯;戴爾斯,
Dandymops,possible-proper-noun,85,2,data/5/entries/12/entries/3/entries/0,"The characters have learned that a halfling necromancer named {@creature Losser Mirklav|wdh} took the {@item Stone of Golorr|WDH}. He lives in a cellar complex under a powdered wig shop in the Trades Ward. The shop, Dandymops, is closed and locked with an iron gate. The lock can be picked by a character who makes a successful {@dc 15} Dexterity check using thieves' tools, or the gate can be forced open with a successful {@dc 25} Strength (Athletics) check. Since the shop is in a highly visible location, an attempt to break into it is 75 percent likely to be noticed by someone who alerts the City Watch. Two {@creature veteran||veterans} of the City Watch arrive in {@dice 1d10} minutes to investigate the shop and talk to witnesses.",0.8,丹迪莫普斯,project-proposed,contextual,丹迪摩普斯,
Danilo Thann,possible-proper-noun,224,1,data/13/entries/3/entries/1/items/69,70. Danilo Thann,0.8,達尼洛·坦恩,project-proposed,contextual,達尼洛·桑恩,Shares Thann surname used for Rulsa Thann.
Davil,possible-proper-noun,4,27,data/0/entries/5/entries/0/rows/12/0,{@creature Davil Starsong|WDH},0.95,達維爾,existing-site-short-form,contextual,,
Davil Starsong,possible-proper-noun,4,15,data/0/entries/5/entries/0/rows/12/0,{@creature Davil Starsong|WDH},0.95,達維爾·星歌,existing-site,contextual,達維爾·星歌,
Delzorin,possible-proper-noun,16,3,data/1/entries/11/entries/8/entries/2,"The Harpers have several secret gathering places in Waterdeep, among them Ulbrinter Villa, an estate located on Delzorin Street between Vhezoar Street and Brondar's Way, in the North Ward (just south of Trollskull Alley). The elf lady of the house, {@creature Remallia Haventree|WDH} (""Remi"" to her friends), the widow of Lord Arthagast Ulbrinter, is a high-ranking member of the faction. Other key members include {@creature Renaer Neverember|wdh}, the estranged son of Lord Dagult Neverember, and {@creature Mirt|WDH}, an advisor to Open Lord {@creature Laeral Silverhand|WDH}. See {@adventure appendix B|WDH|12} for more information on these NPCs.",0.8,德爾佐林,project-proposed,contextual,,
Delzoun,possible-proper-noun,96,1,data/5/entries/15/entries/2/entries/6/entries/0,"This dust-filled room has lain untouched since the time of the Delzoun dwarves. Green copper urns on platforms overflow with coins, gems, and more.",0.8,德爾宗,project-proposed,contextual,,
Dock Ward,possible-proper-noun,22,65,data/2/entries/3/entries/3/entries/4,"Volo describes Floon as a handsome human male in his early thirties with wavy red-blond hair. He was dressed in princely garb when Volo last saw him. Two nights ago, before Floon disappeared, he and Volo were drinking and merrymaking at the Skewered Dragon, a dark, bawdy tavern in the Dock Ward. Volo recommends that the characters start their search there.",0.8,碼頭區,project-proposed,contextual,,
Doom Raiders,possible-proper-noun,17,13,data/1/entries/11/entries/12/entries/3,"Adventurers can't join {@creature Manshoon|WDH}'s cause, but they can join and receive aid from the Zhents who are opposed to him. The leaders of this branch of the Black Network are retired adventurers who have become business entrepreneurs. Their adventuring party was called the Doom Raiders because their specialty was plundering lich lairs (which are called ""dooms""). They are desperately trying to gain a legitimate economic foothold in Waterdeep, which requires making alliances with local guilds and nobles. {@creature Manshoon|WDH}'s war against the Xanathar Guild has thrown their plans into upheaval.",0.95,末日劫掠者,existing-site,contextual,厄運突襲者;厄運掠奪者;末日突襲者;末日掠奪者,
Doors,possible-proper-noun,53,14,data/4/entries/10/entries/7/entries/14/entries/1/items/1,"Doors to the master bedroom ({@area G16|113}) stand open. (If Lady Gralhund is in the master bedroom, she shouts, ""The City Watch is on the way!"")",0.95,門,existing-site,contextual,門,
Dorgar Adarbrent,possible-proper-noun,160,1,data/9/entries/4/entries/5/entries/15/entries/2/entries/4/entries/0/items/4,Dorgar Adarbrent,0.8,多爾加·阿達布倫特,project-proposed,contextual,,
Dragon Heist,possible-proper-noun,2,5,data/0/entries/1,"A simple question began rattling around in my head over two years ago as I was bidding farewell to Barovia, dragging myself out of the depths of Maelstrom, and planning a yearlong expedition to Chult. Where do we go next? After mulling over several options, we decided it would be refreshing to return to civilization. Waterdeep: Dragon Heist is a treasure hunt with an urban backdrop. We've visited Waterdeep before, but not like this. Clever heroes will respect the city's rules. Those who get on the city's bad side are in for a rough time, as the City of Splendors is home to some of the most powerful figures in the Forgotten Realms.",0.8,龍金劫,project-proposed,contextual,龍劫;龍之寶藏,
Draknafein Uriss,possible-proper-noun,101,1,data/6/entries/7/entries/3/entries/1/entries/1,"If the party includes at least one Bregan D'aerthe member with renown of 4 or more in the faction, four male {@creature drow} are waiting for the party at the top of the staircase. Their names are Arannis Nur'zekk, Beldar Tlabbath, Rylvar Tlabbath, and Draknafein Uriss. Their orders are to help the characters complete their mission, whatever the cost. These drow also have secret orders to kill {@creature Nar'l Xibrindas|wdh}, if he's still alive, and retrieve Jarlaxle's bag of holding (see {@area X35|2c7}). If you're tracking experience points, each drow gets an equal share of the XP while a member of the adventuring party.",0.8,德拉克納菲恩·烏里斯,project-proposed,contextual,,
Drow Gunslinger,possible-proper-noun,14,2,data/1/entries/11/entries/5/entries/5,"In the magical guise of a flamboyant Illuskan captain named Zardoz Zord, Jarlaxle oversees things from the {@i Eyecatcher}, his flagship, and the {@i Scarlet Marpenoth}, a submarine mounted underneath it. He relies on three {@creature Drow Gunslinger|wdh|drow gunslingers}—{@creature Fel'rekt Lafeen|WDH}, {@creature Krebbyg Masq'il'yr|WDH}, and {@creature Soluun Xibrindas|wdh}—to do most of his dirty work in the city. For more information on Jarlaxle and his lieutenants, see {@adventure appendix B|WDH|12}.",0.95,卓爾火槍手,existing-site,contextual,卓爾火槍手;黑暗精靈槍手,
Duelist,possible-proper-noun,212,1,data/12/entries/26/entries/2/name,Duelist,0.95,決鬥家,existing-site,contextual,決鬥家,
Duhlark,possible-proper-noun,4,20,data/0/entries/5/entries/0/rows/13/0,Duhlark Kolat,0.8,杜拉克,project-proposed,contextual,杜爾克;杜爾哈克;杜爾卡;杜爾拉克,
Duhlark Kolat,possible-proper-noun,4,8,data/0/entries/5/entries/0/rows/13/0,Duhlark Kolat,0.8,杜拉克·克拉特,project-proposed,contextual,,
Durnan,possible-proper-noun,20,19,data/1/entries/12/entries/3,"{@creature Durnan|WDH}, the proprietor, charges standard prices for food, drink, and lodging (see chapter 5 of the {@book Player's Handbook|phb} for costs).",0.95,杜爾南,existing-site,contextual,杜爾南,
Dwarves,possible-proper-noun,106,1,data/6/entries/7/entries/4/entries/18/entries/2/name,Dwarves,0.95,矮人,existing-site,contextual,矮人,
Elaspra,possible-proper-noun,69,5,data/5/entries/7/entries/4/entries/2/entries/1,"The characters can take the key to the Metal House of Wonders, the guildhall of the Splendid Order of Armorers, Locksmiths, and Finesmiths in the Dock Ward, or to any local locksmith. In either place, someone can identify the key as the handiwork of a dwarf locksmith in the Trades Ward named Elaspra Ulmarr. Characters who visit Elaspra's shop can learn from her that she made a key for a client who bought one of her excellent locks. She even installed the lock for him. Elaspra won't easily divulge the name of the client or his place of residence. She has great respect for the Harpers, however; a character who belongs to this faction and produces a Harper pin to prove it can pry the information from her with a successful {@dc 13} Charisma (Persuasion) check. A character pretending to be a Harper can fool her with a successful {@dc 16} Charisma (Deception) check.",0.8,伊拉斯普拉,project-proposed,contextual,艾拉斯普拉;埃拉斯帕,
